x, y, x_pixel, y_pixel,x_mm,y_mm
0,0,173.0590057373047,167.7070770263672,4.11697407624202,2.605773863839133
10,0,260.0,160.5,13.630248881811301,1.78580474337015
20,0,352.66717529296875,154.68580627441406,23.648614228829857,1.1239841551678964
30,0,443.0,148.0,33.24868685655712,0.36261200532876003
40,0,537.8268432617188,143.827880859375,43.11472548785209,-0.1126778553043728
50,0,634.4266967773438,136.65023803710938,52.92320711438558,-0.9306526264197625
60,0,727.3474731445312,131.8395538330078,62.1294899263353,-1.4790820885905411
70,0,824.6954956054688,132.68505859375,71.55895675308602,-1.3826815529811505
80,0,926.1448974609376,131.35997009277344,81.20415735164781,-1.5337640464214974
90,0,1025.11181640625,128.773681640625,90.51067162451778,-1.82867674456722
100,0,1121.15087890625,130.45738220214844,99.53240294520359,-1.6366807461757382
110,0,1220.470947265625,134.94235229492188,108.95111488010141,-1.1253381701315863
120,0,1315.51171875,137.55650329589844,118.1393145647051,-0.8273535055390955
130,0,1414.5498046875,143.3193359375,127.97778959772842,-0.17062033341820637
140,0,1505.562255859375,149.29116821289062,137.30409997146413,0.5096759582591872
150,0,1601.2802734375,156.73829650878906,147.42049166810452,1.3576478918688686
160,0,1691.5,165.0,157.21454322095698,2.2978358112451964
170,0,1781.9833984375,172.31092834472656,167.21229361946607,3.12932273245411
180,0,1865.985107421875,179.89913940429688,176.5407443202331,3.9918154321998607
0,10,165.4116668701172,251.32864379882807,3.2765196992333294,12.078436563337828
10,10,253.71278381347656,247.7069396972656,12.94541578470492,11.670034242438021
20,10,345.7037658691406,239.2143402099609,22.901263994551385,10.711618560588242
30,10,434.95556640625,233.20602416992188,32.40135997905065,10.03294788227165
40,10,529.3338623046875,230.80615234375,42.240548089116544,9.761731451400685
50,10,625.264892578125,222.49005126953125,52.00354179545318,8.821310637799797
60,10,724.5,220.5,61.850530813781965,8.596133189018826
70,10,824.6380615234375,219.2394561767578,71.55345005146191,8.453474470863096
80,10,921.9754028320312,217.5832977294922,80.81045353733685,8.266012510974377
90,10,1024.7445068359375,217.1616973876953,90.47620901504649,8.218285685558673
100,10,1124.6168212890625,216.4318389892578,99.85898755378128,8.13565758705207
110,10,1223.6165771484375,222.20455932617188,109.25200298765063,8.789009903155218
120,10,1321.915283203125,223.5701446533203,118.76655889153986,8.943503543733609
130,10,1419.5828857421875,231.7072906494141,128.48612356230223,9.863580835231403
140,10,1515.0364990234375,235.0117645263672,138.29150029789284,10.236968087493274
150,10,1605.0810546875,241.33746337890625,147.8284120225131,10.951315987031926
160,10,1699.284423828125,249.52667236328125,158.06922359524697,11.87526096985706
170,10,1786.20263671875,257.11962890625,167.68086496005859,12.73105251184947
180,10,1875.7156982421875,266.1031188964844,177.6180275086294,13.74243339139468
0,20,153.26377868652344,339.0833740234375,1.94056136431562,21.907450232383916
10,20,243.28843688964844,336.28668212890625,11.808724759260354,21.59639602204134
20,20,337.8198547363281,328.6697082519531,22.05395851751996,20.74842783030578
30,20,431.6532287597656,320.8202514648437,32.05307255133729,19.873387621203833
40,20,526.1250610351562,318.1811218261719,41.90977452865335,19.578916585454614
50,20,621.5,312.5,51.62498166179824,18.944575585934608
60,20,721.4822998046875,309.1158447265625,61.55468607841801,18.566421376941456
70,20,818.7992553710938,307.2806396484375,70.99331527139552,18.361262198233938
80,20,922.53173828125,304.7411804199219,80.86299674621623,18.07727189666752
90,20,1024.5836181640625,302.40679931640625,90.4611133187901,17.816112022119107
100,20,1126.0230712890625,307.1125183105469,99.99152658091538,18.342464691874056
110,20,1226.7919921875,306.5285949707031,109.55593664977096,18.277172577486773
120,20,1325.0,311.5,119.06912052364271,18.832855177086245
130,20,1424.373046875,315.7806396484375,128.97070810966287,19.310958509756595
140,20,1517.8673095703125,321.8412170410156,138.58713562600192,19.987270039597732
150,20,1613.9862060546875,329.83135986328125,148.78590623393768,20.877824221965795
160,20,1704.1351318359375,336.12310791015625,158.60244368730608,21.578198062949376
170,20,1796.8792724609375,344.2232666015625,168.86695474188318,22.478707402193187
180,20,1883.83251953125,354.9226379394531,178.51548470202073,23.666110414207488
0,30,146.787841796875,431.8293762207031,1.2279710390535534,32.12639255705989
10,30,235.92300415039065,422.7972412109375,11.004701368450334,31.139981436026027
20,30,329.0,418.0,21.10463417247535,30.615259270646582
30,30,423.9498596191406,414.0581970214844,31.239614318274718,30.183689010281782
40,30,516.3057861328125,409.2060241699219,40.89589656932319,29.65193547497205
50,30,617.3994750976562,403.57427978515625,51.21224895190711,29.034047533690888
60,30,714.3413696289062,400.34710693359375,60.85374978182485,28.67964132770718
70,30,818.5740356445312,397.0354919433594,70.97169654910192,28.315709013906222
80,30,918.3298950195312,395.66119384765625,80.46607390529488,28.164604791521
90,30,1021.3671264648438,391.6102600097656,90.15931350812312,27.71895049335069
100,30,1127.4105224609375,395.7107543945313,100.12231059895956,28.170054718274955
110,30,1226.0570068359375,396.1231689453125,109.48556975505664,28.215403839751765
120,30,1329.0,401.5,119.46185929575557,28.80627933949483
130,30,1428.5,407.0,129.38882422177383,29.409990402595433
140,30,1524.254638671875,414.0435791015625,139.25521141770227,30.18208787997913
150,30,1618.510498046875,418.240234375,149.2732847348828,30.641549307226065
160,30,1713.8624267578125,425.64007568359375,159.67314740702457,31.450666641963828
170,30,1800.5927734375,432.8688354492188,169.2796033589975,32.23978444454792
180,30,1888.78662109375,442.9126586914063,179.06265342512492,33.33405402725454
0,40,142.92300415039062,523.4522705078125,0.8025761801150146,42.01404102920367
10,40,232.47537231445312,515.0059204101562,10.628110278419765,41.11192886010165
20,40,321.3786315917969,508.5668640136719,20.28312100342267,40.422889305083935
30,40,416.0,505.0,30.398663508219684,40.04071397425901
40,40,513.8374633789062,501.3385009765625,40.64063663131565,39.64803893661777
50,40,609.3377685546875,497.2987976074219,50.39951499715938,39.214382229093694
60,40,712.20458984375,492.4019165039063,60.64377101496907,38.68811839634495
70,40,815.2689819335938,486.512939453125,70.65433642106507,38.05438248344738
80,40,918.8038940429688,487.1505126953125,80.51085988573939,38.123039043572795
90,40,1024.094482421875,484.4496154785156,90.41521919831203,37.832120984619856
100,40,1128.4193115234375,488.8435668945313,100.21741380929967,38.30530138706486
110,40,1229.292724609375,491.7368469238281,109.79543187300254,38.61659417717246
120,40,1333.0,494.5,119.85505803026612,38.91367673590403
130,40,1434.155029296875,498.0156555175781,129.9626951011494,39.291368172570515
140,40,1530.5,505.5,139.90980485050176,40.09430782938746
150,40,1626.93408203125,511.2859191894531,150.1823461516477,40.71399217077241
160,40,1720.0445556640625,521.3854370117188,160.3545527570007,41.79347472869051
170,40,1810.3856201171875,524.5181884765625,170.36791400451182,42.12774663388159
180,40,1896.5,533.0,179.91361493197573,43.03141047528989
0,50,136.0,616.0,0.04036635830910562,51.76712891025145
10,50,226.5643768310547,612.3800048828125,9.98209414742556,51.390231864178766
