x, y, x_pixel, y_pixel, x_mm, y_mm,x, y,y_fit=A*(1-exp(-k*t^n)),r,r^2,A,k,n,ssr,,,,,,,,,
90,20,1024.583618,302.4067993,90.22392768,13.78370928,90,20,69.0641057,20.9358943,438.3116702,,,,,,,,,,,,,
100,20,1126.023071,307.1125183,100.9719622,14.24859068,100,20,80.19008269,19.80991731,392.4328236,,,,,,,,,,,,,
110,20,1226.791992,306.528595,111.7322534,14.17902675,110,20,91.64070965,18.35929035,337.063542,,,,,,,,,,,,,
120,20,1325,311.5,122.1814518,14.64662472,120,20,103.1121185,16.88788146,285.2005402,,,,,,,,,,,,,
130,20,1424.373047,315.7806396,132.7477964,15.00690169,130,20,114.9662677,15.03373234,226.013108,,,,,,,,,,,,,
140,20,1517.86731,321.841217,142.7891807,15.58521358,140,20,126.2889325,13.71106754,187.9933732,,,,,,,,,,,,,
150,20,1613.986206,329.8313599,153.0530382,16.37705829,150,20,138.0471167,11.95288326,142.8714183,,,,,,,,,,,,,
160,20,1704.135132,336.1231079,162.6846707,16.95924246,160,20,149.137935,10.86206505,117.9844571,,,,,,,,,,,,,
170,20,1796.879272,344.2232666,172.6455681,17.75446764,170,20,160.5684756,9.43152438,88.95365214,,,,,,,,,,,,,
180,20,1883.83252,354.9226379,181.970641,18.87639394,180,20,171.2680636,8.731936359,76.24671257,,,,,,,,,,,,,
0,30,146.7878418,431.8293762,-2.808293895,28.22004947,0,30,2.568737227,-2.568737227,6.598410942,,,,,,,,,,,,,
10,30,235.9230042,422.7972412,6.583815461,27.20714733,10,30,5.830118073,4.169881927,17.38791529,,,,,,,,,,,,,
20,30,329,418,16.40576488,26.61681475,20,30,10.32867182,9.671328181,93.53458878,,,,,,,,,,,,,
30,30,423.9498596,414.058197,26.44795162,26.13122706,30,30,15.93376504,14.06623496,197.8589659,,,,,,,,,,,,,
40,30,516.3057861,409.2060242,36.18229256,25.54048377,40,30,22.26600683,17.73399317,314.4945137,,,,,,,,,,,,,
50,30,617.3994751,403.5742798,46.87895808,24.94349567,50,30,30.08841283,19.91158717,396.4713035,,,,,,,,,,,,,
60,30,714.3413696,400.3471069,57.16180747,24.45515901,60,30,38.3715155,21.6284845,467.7913417,,,,,,,,,,,,,
70,30,818.5740356,397.0354919,68.3034274,24.06799031,70,30,48.03394354,21.96605646,482.5076362,,,,,,,,,,,,,
80,30,918.329895,395.6611938,78.81838486,23.89787891,80,30,57.92656101,22.07343899,487.2367088,,,,,,,,,,,,,
90,30,1021.367126,391.61026,89.76999303,23.4044582,90,30,68.71875148,21.28124852,452.8915384,,,,,,,,,,,,,
100,30,1127.410522,395.7107544,101.04959,23.76391944,100,30,80.34522093,19.65477907,386.3103404,,,,,,,,,,,,,
110,30,1226.057007,396.1231689,111.596106,23.70036888,110,30,91.55593354,18.44406646,340.1835875,,,,,,,,,,,,,
120,30,1329,401.5,122.5776041,24.27630757,120,30,103.5849157,16.41508432,269.4549933,,,,,,,,,,,,,
130,30,1428.5,407,133.1433046,24.74830256,130,30,115.4629928,14.53700719,211.3245781,,,,,,,,,,,,,
140,30,1524.254639,414.0435791,143.3978291,25.43690343,140,30,127.0671611,12.9328389,167.2583221,,,,,,,,,,,,,
150,30,1618.510498,418.2402344,153.5560427,25.80526929,150,30,138.6026441,11.39735588,129.8997211,,,,,,,,,,,,,
160,30,1713.862427,425.6400757,163.7222236,26.60285686,160,30,150.3365437,9.663456337,93.38238837,,,,,,,,,,,,,
170,30,1800.592773,432.8688354,173.0406774,27.29892427,170,30,161.0260089,8.973991069,80.5325157,,,,,,,,,,,,,
180,30,1888.786621,442.9126587,182.4731533,28.31688759,180,30,171.8764797,8.123520295,65.99158199,,,,,,,,,,,,,
0,40,142.9230042,523.4522705,-3.252577525,37.90373944,0,40,2.452849829,-2.452849829,6.016472286,,,,,,,,,,,,,
10,40,232.4753723,515.0059204,6.138276398,37.00163124,10,40,5.684030575,4.315969425,18.62759207,,,,,,,,,,,,,
20,40,321.3786316,508.566864,15.53689887,36.31167687,20,40,9.92167336,10.07832664,101.5726679,,,,,,,,,,,,,
30,40,416,505,25.57762039,35.83067811,30,40,15.4279057,14.5720943,212.3459322,,,,,,,,,,,,,
40,40,513.8374634,501.338501,35.9452364,35.34748021,40,40,22.08626046,17.91373954,320.9020642,,,,,,,,,,,,,
50,40,609.3377686,497.2987976,46.00507506,34.86557195,50,40,29.43280929,20.56719071,423.0093338,,,,,,,,,,,,,
60,40,712.2045898,492.4019165,56.92290685,34.27182459,60,40,38.18131173,21.81868827,476.0551578,,,,,,,,,,,,,
70,40,815.2689819,486.5129395,67.85185201,33.67747285,70,40,47.71650148,22.28349852,496.5543063,,,,,,,,,,,,,
80,40,918.803894,487.1505127,78.896643,33.61587831,80,40,57.9749376,22.0250624,485.1033736,,,,,,,,,,,,,
90,40,1024.094482,484.4496155,90.06002716,33.2330882,90,40,69.01155609,20.98844391,440.5147778,,,,,,,,,,,,,
100,40,1128.419312,488.8435669,101.1259115,33.7057081,100,40,80.45806603,19.54193397,381.8871835,,,,,,,,,,,,,
110,40,1229.292725,491.7368469,111.8839568,33.9666737,110,40,91.92928258,18.07071742,326.5508279,,,,,,,,,,,,,
120,40,1333,494.5,122.9730388,34.11911757,120,40,104.0581105,15.94188947,254.14384,,,,,,,,,,,,,
130,40,1434.155029,498.0156555,133.7523587,34.48761038,130,40,116.1441477,13.8558523,191.9846429,,,,,,,,,,,,,
140,40,1530.5,505.5,144.0064315,35.28784856,140,40,127.8285879,12.1714121,148.1432725,,,,,,,,,,,,,
150,40,1626.934082,511.2859192,154.3781671,35.76677211,150,40,139.63734,10.36266002,107.3847227,,,,,,,,,,,,,
160,40,1720.044556,521.385437,164.3295071,36.78451803,160,40,151.0984102,8.901589843,79.23830173,,,,,,,,,,,,,
170,40,1810.38562,524.5181885,173.9705354,37.16138067,170,40,162.2323941,7.767605923,60.33570177,,,,,,,,,,,,,
180,40,1896.5,533,183.1894063,37.9700768,180,40,172.8234336,7.17656643,51.50310572,,,,,,,,,,,,,
0,50,136,616,-4.013578684,47.80005971,0,50,2.250903958,-2.250903958,5.066568627,,,,,,,,,,,,,
10,50,226.5643768,612.3800049,5.586020639,47.32699932,10,50,5.437141671,4.562858329,20.81967613,,,,,,,,,,,,,
20,50,318.1638489,604.9492798,15.19500675,46.53414005,20,50,9.751991503,10.2480085,105.0216781,,,,,,,,,,,,,
30,50,408.7673035,599.5317383,24.81211755,45.95358003,30,50,14.97330539,15.02669461,225.8015509,,,,,,,,,,,,,
40,50,506,596,35.07247458,45.47585398,40,50,21.51923364,18.48076636,341.5387252,,,,,,,,,,,,,
50,50,606.1160889,592.5532837,45.66011853,45.10267431,50,50,29.17230045,20.82769955,433.7930685,,,,,,,,,,,,,
60,50,707.7284546,585.4130859,56.47169637,44.19472754,60,50,37.78394621,22.21605379,493.5530458,,,,,,,,,,,,,
70,50,808.760376,582.2460327,67.1865919,43.82000171,70,50,47.0933981,22.9066019,524.7124108,,,,,,,,,,,,,
80,50,913.4324341,583.0403442,78.22964531,43.87036336,80,50,57.4274487,22.5725513,509.520072,,,,,,,,,,,,,
90,50,1019.996338,579.7458496,89.60427513,43.4918324,90,50,68.57171743,21.42828257,459.1712938,,,,,,,,,,,,,
100,50,1126.519409,583.7791748,100.9886452,43.86110222,100,50,80.24557223,19.75442777,390.2374166,,,,,,,,,,,,,
110,50,1231.267822,584.2115479,112.0665325,43.80462366,110,50,92.15733964,17.84266036,318.3605286,,,,,,,,,,,,,
120,50,1337.520264,589.0505981,123.4740972,44.28143482,120,50,104.5933252,15.40667476,237.3656273,,,,,,,,,,,,,
130,50,1437.5,595.5,134.1453444,44.97661335,130,50,116.547326,13.452674,180.9744377,,,,,,,,,,,,,
140,50,1537.062134,600.3660278,144.7211665,45.35170902,140,50,128.629147,11.370853,129.296298,,,,,,,,,,,,,
150,50,1632.341064,609.043457,154.8774405,46.26504679,150,50,140.3017471,9.698252942,94.05611012,,,,,,,,,,,,,
160,50,1723.5,613.5,164.7233064,46.75203219,160,50,151.5242758,8.475724249,71.83790155,,,,,,,,,,,,,
170,50,1812.790405,618.317627,174.2568585,47.13379806,170,50,162.5285985,7.471401489,55.82184021,,,,,,,,,,,,,
180,50,1901.621826,625.40979,183.7975655,47.8377604,180,50,173.451997,6.54800298,42.87634302,,,,,,,,,,,,,
0,60,131.5397491,711.5161133,-4.458905149,58.01198338,0,60,2.12467367,-2.12467367,4.514238205,,,,,,,,,,,,,
10,60,220,707,4.823350325,57.43856868,10,60,5.168303256,4.831696744,23.34529342,,,,,,,,,,,,,
20,60,312.8147278,704.0003662,14.64117412,57.07515269,20,60,9.472296521,10.52770348,110.8325405,,,,,,,,,,,,,
30,60,406.8563232,696.7235107,24.5747544,56.28496489,30,60,14.85409459,15.14590541,229.3984506,,,,,,,,,,,,,
40,60,499.5446777,692.3006592,34.41123004,55.70760582,40,60,21.05646408,18.94353592,358.857553,,,,,,,,,,,,,
50,60,598.0370483,690.8228149,44.78512166,55.5536523,50,60,28.52278616,21.47721384,461.2707143,,,,,,,,,,,,,
60,60,701.5,685,55.80650296,54.86340909,60,60,37.23345213,22.76654787,518.315702,,,,,,,,,,,,,
70,60,807.7086182,680.2965698,67.05117082,54.27817596,70,60,46.9929619,23.0070381,529.3238021,,,,,,,,,,,,,
80,60,914.4737549,680.885376,78.30577651,54.33288226,80,60,57.53346135,22.46653865,504.745359,,,,,,,,,,,,,
90,60,1021,679,89.67937294,54.06671114,90,60,68.67936398,21.32063602,454.5695205,,,,,,,,,,,,,
100,60,1131.598999,682.6278687,101.4888511,54.43952089,100,60,80.81401046,19.18598954,368.1021945,,,,,,,,,,,,,
110,60,1237.855347,682.7570801,112.7796069,54.3874701,110,60,92.91886185,17.08113815,291.7652804,,,,,,,,,,,,,
120,60,1341.978882,689.9607544,123.8663821,55.08522476,120,60,105.1217272,14.87827281,221.3630018,,,,,,,,,,,,,
130,60,1442.966064,691.8164063,134.6457736,55.2499699,130,60,117.2065944,12.79340564,163.6712279,,,,,,,,,,,,,
140,60,1541.963989,700.4387207,145.2199268,56.05836867,140,60,129.2274899,10.77251012,116.0469742,,,,,,,,,,,,,
150,60,1636.459595,703.5442505,155.2707719,56.44140949,150,60,140.8079545,9.192045521,84.49370086,,,,,,,,,,,,,
160,60,1729.755615,711.8280029,165.3293795,57.25353599,160,60,152.2952892,7.70471075,59.36256775,,,,,,,,,,,,,
170,60,1817.932007,716.0614624,174.7556128,57.64033876,170,60,163.1618434,6.83815658,46.76038542,,,,,,,,,,,,,
180,60,1903.068359,719.4871826,183.8685458,57.92162653,180,60,173.6294847,6.370515253,40.58346459,,,,,,,,,,,,,
0,70,127.5,807.5,-4.904152062,68.22208281,0,70,2.012995366,-2.012995366,4.052150343,,,,,,,,,,,,,
10,70,214.01651,803.0487061,4.166082827,67.65399828,10,70,4.928196517,5.071803483,25.72319057,,,,,,,,,,,,,
20,70,306.5,801,13.87677927,67.40213661,20,70,9.14638471,10.85361529,117.8009649,,,,,,,,,,,,,
30,70,397.9890747,796.0664673,23.59704963,66.83063619,30,70,14.30590047,15.69409953,246.30476,,,,,,,,,,,,,
40,70,493.8786011,795.6482544,33.7479238,66.7894968,40,70,20.65347062,19.34652938,374.288199,,,,,,,,,,,,,
50,70,593.1905518,788.5302124,44.22798717,66.0010206,50,70,28.1357528,21.8642472,478.0453055,,,,,,,,,,,,,
60,70,695.322876,788.6075439,55.03428807,65.9568519,60,70,36.69030977,23.30969023,543.3416586,,,,,,,,,,,,,
70,70,802.5533447,783.5574951,66.48953046,65.37661829,70,70,46.50169457,23.49830543,552.1703579,,,,,,,,,,,,,
80,70,910.5,781.5,77.84985563,65.11642693,80,70,57.12923262,22.87076738,523.0720007,,,,,,,,,,,,,
90,70,1019.695618,778.6074829,89.54146996,64.74784487,90,70,68.53947327,21.46052673,460.5542074,,,,,,,,,,,,,
100,70,1131.5,782.5,101.4567299,65.01912347,100,70,80.80292229,19.19707771,368.5277926,,,,,,,,,,,,,
110,70,1239,785.5,112.8518852,65.39980058,110,70,93.05132251,16.94867749,287.2576686,,,,,,,,,,,,,
120,70,1345.414551,788.1473999,124.1529723,65.56737588,120,70,105.5292226,14.47077737,209.4033978,,,,,,,,,,,,,
130,70,1446,794,134.9304946,66.16538741,130,70,117.5727473,12.42725268,154.4366091,,,,,,,,,,,,,
140,70,1545.759033,797.390564,145.6128242,66.44320262,140,70,129.6909206,10.30907944,106.277119,,,,,,,,,,,,,
150,70,1639.5,803.5,155.6622394,67.15236442,150,70,141.1817165,8.818283526,77.76212435,,,,,,,,,,,,,
160,70,1732.3396,807.1126099,165.5081846,67.43435277,160,70,152.6137821,7.386217881,54.55621458,,,,,,,,,,,,,
170,70,1818.616455,811.5502319,174.8263787,67.93315938,170,70,163.2461342,6.753865794,45.61470316,,,,,,,,,,,,,
180,70,1906.33667,818.4630127,184.1521134,68.53964978,180,70,174.0304451,5.969554915,35.63558589,,,,,,,,,,,,,
0,80,125.4440308,906.4205933,-5.244412209,78.64261068,0,80,1.957133729,-1.957133729,3.830372433,,,,,,,,,,,,,
10,80,210.2844391,904.5390625,3.718404865,78.50479247,10,80,4.780841728,5.219158272,27.23961307,,,,,,,,,,,,,
20,80,303.9008179,902.3942261,13.63941201,78.15070431,20,80,9.013589514,10.98641049,120.7012154,,,,,,,,,,,,,
30,80,395.5,898,23.35849871,77.69058435,30,80,14.15349539,15.84650461,251.1117084,,,,,,,,,,,,,
40,80,493.0118713,897.2930298,33.61446003,77.54767352,40,80,20.59209026,19.40790974,376.6669603,,,,,,,,,,,,,
50,80,589.4256592,895.2172241,43.77458606,77.29844869,50,80,27.83644929,22.16355071,491.22298,,,,,,,,,,,,,
60,80,691.2738647,889.4301758,54.58135101,76.6202801,60,80,36.33581943,23.66418057,559.9934419,,,,,,,,,,,,,
70,80,796.918335,889.9902954,65.82131114,76.68654441,70,80,45.96667585,24.03332415,577.6006698,,,,,,,,,,,,,
80,80,906.3023071,884.817749,77.39340684,76.11140431,80,80,56.70317833,23.29682167,542.7419,,,,,,,,,,,,,
90,80,1020,885.5,89.50770788,76.17440451,90,80,68.57211012,21.42788988,459.1544646,,,,,,,,,,,,,
100,80,1131.458862,885.5714722,101.3165469,76.13178599,100,80,80.79831486,19.20168514,368.7047121,,,,,,,,,,,,,
110,80,1243.664063,888.9202271,113.3503928,76.40904978,110,80,93.59147188,16.40852812,269.239795,,,,,,,,,,,,,
120,80,1345.594238,892.0773926,124.2241412,76.69082068,120,80,105.5505426,14.44945738,208.7868185,,,,,,,,,,,,,
130,80,1447.084106,898.6542969,135.0005823,77.40127238,130,80,117.7036223,12.29637765,151.2009033,,,,,,,,,,,,,
140,80,1545.330322,899.6312866,145.4691367,77.4712166,140,80,129.6385604,10.36143955,107.3594297,,,,,,,,,,,,,
150,80,1642.784668,902.8208008,155.9470497,77.75544263,150,80,141.5855677,8.414432333,70.80267149,,,,,,,,,,,,,
160,80,1732.459961,906.055603,165.4713293,78.0433249,160,80,152.6286176,7.371382403,54.33727854,,,,,,,,,,,,,
170,80,1824.260498,909.5025024,175.32505,78.43753623,170,80,163.9411441,6.058855857,36.7097343,,,,,,,,,,,,,
180,80,1907.861572,912.1210327,184.330321,78.62059038,180,80,174.2174945,5.78250545,33.43736928,,,,,,,,,,,,,
0,90,123.5897369,1001.716614,-5.373346698,88.84811895,0,90,1.907319435,-1.907319435,3.637867425,,,,,,,,,,,,,
10,90,211.3449097,1004.061768,3.798948354,89.03294202,10,90,4.822523818,5.177476182,26.80625961,,,,,,,,,,,,,
20,90,302.0885315,1001.016663,13.40260231,88.68470528,20,90,8.921466444,11.07853356,122.7339058,,,,,,,,,,,,,
30,90,393,1001.5,23.01378761,88.76190251,30,90,14.00107588,15.99892412,255.9655731,,,,,,,,,,,,,
40,90,490.0319214,998.3762817,33.26947908,88.30480964,40,90,20.38159327,19.61840673,384.8818824,,,,,,,,,,,,,
50,90,589.1624146,1001.45105,43.74474599,88.59240158,50,90,27.81556618,22.18443382,492.1491037,,,,,,,,,,,,,
60,90,691.1031494,996.7446289,54.55008221,88.13316586,60,90,36.32090009,23.67909991,560.6997728,,,,,,,,,,,,,
70,90,794.5690918,995.2603149,65.57786289,87.88610879,70,90,45.7442354,24.2557646,588.3421165,,,,,,,,,,,,,
80,90,906,996,77.35938859,87.95662399,80,90,56.67253299,23.32746701,544.1707169,,,,,,,,,,,,,
90,90,1019.5,995.5,89.47300471,87.91947464,90,90,68.51850082,21.48149918,461.4548071,,,,,,,,,,,,,
100,90,1135.111816,995.0508423,101.7069501,87.77513206,100,90,81.20770053,18.79229947,353.1505195,,,,,,,,,,,,,
110,90,1241.542236,997.548645,113.100964,88.06077405,110,90,93.34565815,16.65434185,277.3671023,,,,,,,,,,,,,
120,90,1349.764282,999.4743652,124.614264,88.13251591,120,90,106.0455347,13.95446528,194.7271012,,,,,,,,,,,,,
130,90,1452.127075,1004.798279,135.4973858,88.74123983,130,90,118.3126828,11.68731722,136.5933838,,,,,,,,,,,,,
140,90,1547.317017,1006.328491,145.6450083,88.81760916,140,90,129.8812205,10.11877952,102.389699,,,,,,,,,,,,,
150,90,1641.252686,1005.347656,155.6958693,88.68019239,150,90,141.397202,8.602798003,74.00813348,,,,,,,,,,,,,
160,90,1736.340942,1006.395508,165.862378,88.7566043,160,90,153.1069858,6.893014187,47.51364458,,,,,,,,,,,,,
170,90,1822.636353,1008.689392,175.1803068,89.05004162,170,90,163.7411577,6.258842253,39.17310635,,,,,,,,,,,,,
180,90,1909.224365,1012.674316,184.3985495,89.45128023,180,90,174.3846442,5.615355794,31.53222069,,,,,,,,,,,,,
0,100,120,1102,-5.819379984,99.47802994,0,100,1.812422828,-1.812422828,3.284876506,,,,,,,,,,,,,
10,100,209.7933655,1100.757813,3.669041764,99.34756421,10,100,4.76159085,5.23840915,27.44093042,,,,,,,,,,,,,
20,100,300.6470947,1104.790771,13.27010084,99.74857698,20,100,8.848470241,11.15152976,124.356616,,,,,,,,,,,,,
30,100,394.4688721,1102.755249,23.09256987,99.51089107,30,100,14.09055019,15.90944981,253.1105931,,,,,,,,,,,,,
40,100,486.8375549,1103.487549,32.92346519,99.48592726,40,100,20.15687873,19.84312127,393.7494617,,,,,,,,,,,,,
50,100,585.746521,1107.718506,43.39704776,99.9919315,50,100,27.54511298,22.45488702,504.221951,,,,,,,,,,,,,
60,100,690.4100952,1108.145264,54.41198263,99.96423248,60,100,36.26035418,23.73964582,563.5707836,,,,,,,,,,,,,
70,100,796.078186,1105.765503,65.65089855,99.7227113,70,100,45.88708418,24.11291582,581.4327093,,,,,,,,,,,,,
80,100,906.1182251,1110.358765,77.32445665,100.1199884,80,100,56.68451704,23.31548296,543.6117455,,,,,,,,,,,,,
90,100,1017.216492,1111.575317,89.11748913,100.303938,90,100,68.27381588,21.72618412,472.0270763,,,,,,,,,,,,,
100,100,1132.323486,1107.778564,101.3509899,99.84619598,100,100,80.89516662,19.10483338,364.9946585,,,,,,,,,,,,,
110,100,1241.75061,1111.166626,113.0633309,100.1373315,110,100,93.36979217,16.63020783,276.5638124,,,,,,,,,,,,,
120,100,1347.667114,1107.826172,124.3637172,99.78832638,120,100,105.7965456,14.20345443,201.7381177,,,,,,,,,,,,,
130,100,1451.801147,1107.25293,135.4617102,99.65344504,130,100,118.273306,11.72669399,137.5153518,,,,,,,,,,,,,
140,100,1549.840332,1111.023193,145.9280785,100.0551732,140,100,130.1894884,9.810511562,96.24613711,,,,,,,,,,,,,
150,100,1640.765015,1110.89624,155.6571931,100.0308515,150,100,141.337243,8.662756959,75.04335814,,,,,,,,,,,,,
160,100,1733.560181,1107.236938,165.6106355,99.5774816,160,100,152.7642289,7.235771072,52.35638301,,,,,,,,,,,,,
170,100,1823.571289,1110.45166,175.2491339,99.87470461,170,100,163.8562807,6.143719263,37.74528638,,,,,,,,,,,,,
180,100,1909.749268,1107.339111,184.4694737,99.52996474,180,100,174.4490209,5.550979117,30.81336915,,,,,,,,,,,,,
0,110,119.8720474,1201.727783,-5.8438594,110.1051163,0,110,1.809077963,-1.809077963,3.272763075,,,,,,,,,,,,,
10,110,209.48172,1202.097656,3.538147952,110.08587,10,110,4.749390574,5.250609426,27.56889935,,,,,,,,,,,,,
20,110,298.9616394,1205.758545,13.03284234,110.491814,20,110,8.763427032,11.23657297,126.2605721,,,,,,,,,,,,,
