x, y, x_pixel, y_pixel,x_mm,y_mm
0,0,137.5,177.5,-0.5640145376451233,1.631692930323311
10,0,220.5,171.5,9.338699937862646,1.0853227516608825
20,0,308.0,166.5,19.675278655416733,0.6295068337041378
30,0,399.5,162.0,29.722295968042317,0.21841311235635885
40,0,491.6051635742188,157.94090270996094,39.69551405071857,-0.15345359422548555
50,0,589.5617065429688,153.987548828125,50.153156404891575,-0.516905770527206
60,0,688.5,152.5,60.06973245797775,-0.654051182782343
70,0,787.0,154.5,70.20830463767138,-0.4697117151264045
80,0,890.0,153.5,80.26164913013214,-0.5618302123386876
0,10,140.0,273.5,-0.29048361372504417,10.735744315897072
10,10,222.4555511474609,267.9508972167969,9.57801774939729,10.181752707256003
20,10,309.5,265.5,19.844857842375035,9.938115536725913
30,10,400.0,263.5,29.776327774148527,9.739794917247938
40,10,493.5,260.5,39.901043657745554,9.44316605410756
50,10,590.5,259.0,50.25044055975245,9.295238232952705
60,10,687.5,260.0,59.971238893234755,9.393826996797618
70,10,787.5,260.5,70.26312296193008,9.44316605410756
80,10,888.5,262.5,80.18349294618335,9.640802867783147
0,20,140.5,367.5,-0.23542587777172486,20.32452591690993
10,20,224.0,367.0,9.766869901335088,20.274178628857324
20,20,311.5,364.0,20.07058596498799,19.971601798127143
30,20,401.0,365.0,29.884391645173004,20.072547732735213
40,20,494.0,364.0,39.95529849065213,19.971601798127143
50,20,589.5,365.5,50.14675096984401,20.12298931404357
60,20,688.0,366.0,60.020485476370865,20.173408930039688
70,20,787.5,366.5,70.26312296193008,20.223802384801314
80,20,886.6412963867188,372.0542907714844,80.08072836192852,20.782050346857613
0,30,144.0,462.5,0.15309095164376174,29.410760422573855
10,30,224.9714508056641,460.9383544921875,9.885580473891057,29.26693229440323
20,30,312.5,463.5,20.18330318029492,29.50285262239876
30,30,401.57525634765625,465.5252685546875,29.9465413858672,29.6894010121438
40,30,494.5,466.5,40.00952046991372,29.77921234010328
50,30,589.5,468.5,50.14675096984401,29.963553654770873
60,30,686.8526611328125,472.8619995117188,59.90737804434208,30.366018039135437
70,30,785.5,473.5,70.04419347118339,30.424971499812937
80,30,885.5,477.0,80.0147303045311,30.748682806257545
0,40,146.5,556.5,0.4337800895467332,38.71457756478503
10,40,228.5,558.0,10.316265842321986,38.88279987980029
20,40,313.5181579589844,561.1051025390625,20.297947532868164,39.23355172265073
30,40,402.5,564.0,30.046452163598268,39.56346094322572
40,40,495.0321044921875,567.9720458984375,40.06722435692361,40.020568314719256
50,40,589.5,572.5,50.14675096984401,40.547650319355554
60,40,686.5,574.5,59.872824853819566,40.78236080483401
70,40,786.3939208984375,578.2333374023438,70.14185426524779,41.22337626395287
80,40,882.0,583.5,79.7967932005661,41.85114305060735
0,50,150.5,649.0,0.887962865521331,49.13370872347569
10,50,229.19468688964844,653.9147338867188,10.400949905423253,49.495346136597846
20,50,316.5,656.5,20.63313606427583,49.66290816764625
30,50,404.5,662.5,30.26253325491333,49.982987031615664
40,50,494.5,666.5,40.00952046991372,50.135842691339704
50,50,587.5,672.5,49.93918201157085,50.260076539850374
60,50,682.5,677.5,59.479291084464435,50.25365658035035
70,50,780.5,681.5,69.49895742533957,50.16691245816445
80,50,877.5,685.5,79.48633226886285,49.99942103325266
