x, y, x_pixel, y_pixel,x_mm,y_mm,x_err,y_err,,,,,,,,,,,,
50,30,617.3994751,403.5742798,51.129345,29.316227,1.129345,0.683773,,,,,,,,,,,,
60,30,714.3413696,400.3471069,60.81843,28.963657,0.81843,1.036343,,,,,,,,,,,,
70,30,818.5740356,397.0354919,71.03946,28.600986,1.03946,1.399014,,,,,,,,,,,,
80,30,918.329895,395.6611938,80.5524,28.450237,0.5524,1.549763,,,,,,,,,,,,
90,30,1021.367126,391.61026,90.18892,28.004925,0.18892,1.995075,,,,,,,,,,,,
100,30,1127.410522,395.7107544,100.137146,28.455654,0.137146,1.544346,,,,,,,,,,,,
110,30,1226.057007,396.1231689,109.6302,28.500843,0.3698,1.499157,,,,,,,,,,,,
120,30,1329,401.5,119.84245,29.089687,0.15755,0.910313,,,,,,,,,,,,
130,30,1428.5,407,129.9454,29.689716,0.0546,0.310284,,,,,,,,,,,,
140,30,1524.254639,414.0435791,139.81186,30.454876,0.18814,0.454876,,,,,,,,,,,,
150,30,1618.510498,418.2402344,149.75394,30.909115,0.24606,0.909115,,,,,,,,,,,,
160,30,1713.862427,425.6400757,160.35846,31.707287,0.35846,1.707287,,,,,,,,,,,,
170,30,1800.592773,432.8688354,170.54001,32.483707,0.54001,2.483707,,,,,,,,,,,,
180,30,1888.786621,442.9126587,180.43826,33.55747,0.43826,3.55747,,,,,,,,,,,,
0,40,142.9230042,523.4522705,0.78750896,42.025455,0.78750896,2.025455,,,,,,,,,,,,
10,40,232.4753723,515.0059204,10.251958,41.14542,0.251958,1.14542,,,,,,,,,,,,
20,40,321.3786316,508.566864,20.385342,40.47344,0.385342,0.47344,,,,,,,,,,,,
30,40,416,505,30.616055,40.101,0.616055,0.101,,,,,,,,,,,,
40,40,513.8374634,501.338501,40.68099,39.718296,0.68099,0.281704,,,,,,,,,,,,
50,40,609.3377686,497.2987976,50.31901,39.29572,0.31901,0.70428,,,,,,,,,,,,
60,40,712.2045898,492.4019165,60.606274,38.782963,0.606274,1.217037,,,,,,,,,,,,
70,40,815.2689819,486.5129395,70.71913,38.165684,0.71913,1.834316,,,,,,,,,,,,
80,40,918.803894,487.1505127,80.597885,38.232594,0.597885,1.767406,,,,,,,,,,,,
90,40,1024.094482,484.4496155,90.44087,37.949085,0.44087,2.050915,,,,,,,,,,,,
100,40,1128.419312,488.8435669,100.23149,38.4101,0.23149,1.5899,,,,,,,,,,,,
110,40,1229.292725,491.7368469,109.93884,38.713383,0.06116,1.286617,,,,,,,,,,,,
120,40,1333,494.5,120.24158,39.002857,0.24158,0.997143,,,,,,,,,,,,
130,40,1434.155029,498.0156555,130.52686,39.370792,0.52686,0.629208,,,,,,,,,,,,
140,40,1530.5,505.5,140.4444,40.153233,0.4444,0.153233,,,,,,,,,,,,
150,40,1626.934082,511.2859192,150.6641,40.75736,0.6641,0.75736,,,,,,,,,,,,
160,40,1720.044556,521.385437,160.99469,41.81026,0.99469,1.81026,,,,,,,,,,,,
170,40,1810.38562,524.5181885,171.71332,42.13677,1.71332,2.13677,,,,,,,,,,,,
180,40,1896.5,533,181.10898,43.019535,1.10898,3.019535,,,,,,,,,,,,
0,50,136,616,0.18934155,51.635563,0.18934155,1.635563,,,,,,,,,,,,
10,50,226.5643768,612.3800049,9.576962,51.260166,0.423038,1.260166,,,,,,,,,,,,
20,50,318.1638489,604.9492798,20.02594,50.489582,0.02594,0.489582,,,,,,,,,,,,
30,50,408.7673035,599.5317383,29.855778,49.92809,0.144222,0.07191,,,,,,,,,,,,
40,50,506,596,39.885128,49.56194,0.114872,0.43806,,,,,,,,,,,,
50,50,606.1160889,592.5532837,49.995167,49.20441,0.004833,0.79559,,,,,,,,,,,,
60,50,707.7284546,585.4130859,60.1618,48.46349,0.1618,1.53651,,,,,,,,,,,,
70,50,808.760376,582.2460327,70.089066,48.13483,0.089066,1.86517,,,,,,,,,,,,
80,50,913.4324341,583.0403442,80.09117,48.217274,0.09117,1.782726,,,,,,,,,,,,
90,50,1019.996338,579.7458496,90.06143,47.87543,0.06143,2.12457,,,,,,,,,,,,
100,50,1126.519409,583.7791748,100.051926,48.293903,0.051926,1.706097,,,,,,,,,,,,
110,50,1231.267822,584.2115479,110.13281,48.338886,0.13281,1.661114,,,,,,,,,,,,
120,50,1337.520264,589.0505981,120.70036,48.84096,0.70036,1.15904,,,,,,,,,,,,
130,50,1437.5,595.5,130.87204,49.510075,0.87204,0.489925,,,,,,,,,,,,
140,50,1537.062134,600.3660278,141.11847,50.014484,1.11847,0.014484,,,,,,,,,,,,
150,50,1632.341064,609.043457,151.23773,50.914356,1.23773,0.914356,,,,,,,,,,,,
160,50,1723.5,613.5,161.43503,51.37592,1.43503,1.37592,,,,,,,,,,,,
170,50,1812.790405,618.317627,172.00247,51.875797,2.00247,1.875797,,,,,,,,,,,,
180,50,1901.621826,625.40979,181.57281,52.61043,1.57281,2.61043,,,,,,,,,,,,
0,60,131.5397491,711.5161133,-0.17851162,61.500065,0.17851162,1.500065,,,,,,,,,,,,
10,60,220,707,8.830525,61.035908,1.169475,1.035908,,,,,,,,,,,,
20,60,312.8147278,704.0003662,19.426205,60.727757,0.573795,0.727757,,,,,,,,,,,,
30,60,406.8563232,696.7235107,29.6544,59.979343,0.3456,0.020657,,,,,,,,,,,,
40,60,499.5446777,692.3006592,39.228794,59.524555,0.771206,0.475445,,,,,,,,,,,,
50,60,598.0370483,690.8228149,49.182674,59.372334,0.817326,0.627666,,,,,,,,,,,,
60,60,701.5,685,59.542484,58.772007,0.457516,1.227993,,,,,,,,,,,,
70,60,807.7086182,680.2965698,69.986664,58.2869,0.013336,1.7131,,,,,,,,,,,,
80,60,914.4737549,680.885376,80.18912,58.34786,0.18912,1.65214,,,,,,,,,,,,
90,60,1021,679,90.153275,58.153385,0.153275,1.846615,,,,,,,,,,,,
100,60,1131.598999,682.6278687,100.53421,58.52788,0.53421,1.47212,,,,,,,,,,,,
110,60,1237.855347,682.7570801,110.78343,58.54099,0.78343,1.45901,,,,,,,,,,,,
