x, y, x_pixel, y_pixel,x_mm,y_mm,x_err,y_err,,,,,,,,,,,,
10,150,227.8082581,1591.518311,9.718804,147.50467,0.281196,2.49533,,,,,,,,,,,,
20,150,315.6056213,1598.212402,19.73936,148.18463,0.26064,1.81537,,,,,,,,,,,,
30,150,411.6472473,1604.388672,30.15887,148.80902,0.15887,1.19098,,,,,,,,,,,,
40,150,506.4652405,1606.949341,39.93246,149.09854,0.06754,0.90146,,,,,,,,,,,,
50,150,605.8763428,1616.024658,49.97121,150.01419,0.02879,0.01419,,,,,,,,,,,,
60,150,705.3592529,1618.116821,59.92619,150.2337,0.07381,0.2337,,,,,,,,,,,,
70,150,808.8208618,1625.57312,70.09416,151.01025,0.09416,1.01025,,,,,,,,,,,,
80,150,913.5942993,1625.96875,80.108,151.07773,0.108,1.07773,,,,,,,,,,,,
90,150,1019.471863,1629.418457,90.01071,151.37976,0.01071,1.37976,,,,,,,,,,,,
100,150,1124.460449,1626.10791,99.856125,151.0745,0.143875,1.0745,,,,,,,,,,,,
110,150,1225.418945,1624.438477,109.56389,150.87451,0.43611,0.87451,,,,,,,,,,,,
120,150,1328.288574,1623.567627,119.77338,150.8117,0.22662,0.8117,,,,,,,,,,,,
130,150,1431.689453,1618.718384,130.27417,150.30862,0.27417,0.30862,,,,,,,,,,,,
140,150,1526.139648,1613.433228,140.00317,149.77084,0.00317,0.22916,,,,,,,,,,,,
150,150,1621.403564,1604.919312,150.05386,148.86911,0.05386,1.13089,,,,,,,,,,,,
160,150,1716.294434,1598.602539,160.59042,148.27032,0.59042,1.72968,,,,,,,,,,,,
170,150,1803.381958,1592.936523,170.88474,147.63388,0.88474,2.36612,,,,,,,,,,,,
180,150,1889.433716,1589.550049,180.42798,147.32306,0.42798,2.67694,,,,,,,,,,,,
0,160,141.8135986,1673.592163,0.68955135,156.0509,0.68955135,3.9491,,,,,,,,,,,,
10,160,230.7218018,1684.083984,10.05148,157.18466,0.05148,2.81534,,,,,,,,,,,,
20,160,323,1690,20.566319,157.82831,0.566319,2.17169,,,,,,,,,,,,
30,160,415.0300293,1697.241699,30.514309,158.61707,0.514309,1.38293,,,,,,,,,,,,
40,160,509.4199219,1700.622437,40.2326,158.95007,0.2326,1.04993,,,,,,,,,,,,
50,160,610.6560059,1707.366211,50.451664,159.70236,0.451664,0.29764,,,,,,,,,,,,
60,160,710.3215332,1714.693481,60.41914,160.54803,0.41914,0.54803,,,,,,,,,,,,
70,160,811.6276245,1716.360229,70.36659,160.69855,0.36659,0.69855,,,,,,,,,,,,
80,160,912.246521,1718.771118,79.97864,160.99539,0.02136,0.99539,,,,,,,,,,,,
90,160,1018.608704,1720.292603,89.93077,161.17532,0.06923,1.17532,,,,,,,,,,,,
100,160,1119.732788,1719.710571,99.409195,161.09076,0.590805,1.09076,,,,,,,,,,,,
110,160,1222.429077,1721.018799,109.27472,161.23953,0.72528,1.23953,,,,,,,,,,,,
120,160,1326.805176,1716.20874,119.619125,160.68,0.380875,0.68,,,,,,,,,,,,
130,160,1426.168579,1709.148193,129.7142,159.8952,0.2858,0.1048,,,,,,,,,,,,
140,160,1522.969482,1706.318726,139.66037,159.63672,0.33963,0.36328,,,,,,,,,,,,
150,160,1617.127563,1697.405884,149.56995,158.62112,0.43005,1.37888,,,,,,,,,,,,
160,160,1709.487915,1693.891235,159.85095,158.26932,0.14905,1.73068,,,,,,,,,,,,
170,160,1796.586914,1687.663818,170.05579,157.52563,0.05579,2.47437,,,,,,,,,,,,
180,160,1883.204224,1678.245361,179.84384,156.50217,0.15616,3.49783,,,,,,,,,,,,
0,170,151.3725281,1765.054443,1.557828,166.11624,1.557828,3.88376,,,,,,,,,,,,
10,170,240.4388123,1775.39856,11.164414,167.32065,1.164414,2.67935,,,,,,,,,,,,
20,170,331.027771,1779.884033,21.45942,167.87143,1.45942,2.12857,,,,,,,,,,,,
30,170,420.6492004,1785.587646,31.103176,168.49149,1.103176,1.50851,,,,,,,,,,,,
40,170,515.2134399,1794.914917,40.82063,169.53244,0.82063,0.46756,,,,,,,,,,,,
50,170,614,1800,50.7878,170.0596,0.7878,0.0596,,,,,,,,,,,,
60,170,711.0904541,1805.769409,60.495586,170.68674,0.495586,0.68674,,,,,,,,,,,,
70,170,814,1809,70.596436,171.09799,0.596436,1.09799,,,,,,,,,,,,
80,170,916.6134033,1810.471558,80.39136,171.16513,0.39136,1.16513,,,,,,,,,,,,
90,170,1015.972229,1811.144897,89.685974,171.33957,0.314026,1.33957,,,,,,,,,,,,
100,170,1120.567749,1810.703003,99.48901,171.21829,0.51099,1.21829,,,,,,,,,,,,
110,170,1219.323486,1808.855103,108.971695,171.035,1.028305,1.035,,,,,,,,,,,,
120,170,1319.192017,1808.458374,118.85794,171.04404,1.14206,1.04404,,,,,,,,,,,,
130,170,1420.586426,1803.248169,129.1373,170.41397,0.8627,0.41397,,,,,,,,,,,,
140,170,1515.544067,1796.437988,138.89728,169.69485,1.10272,0.30515,,,,,,,,,,,,
150,170,1608.197754,1788.597412,148.64395,168.7742,1.35605,1.2258,,,,,,,,,,,,
160,170,1699.202881,1784.829346,158.6539,168.39084,1.3461,1.60916,,,,,,,,,,,,
170,170,1790.536987,1776.5177,169.35449,167.40726,0.64551,2.59274,,,,,,,,,,,,
180,170,1875.809204,1771.279663,179.1372,166.87912,0.8628,3.12088,,,,,,,,,,,,
0,180,157.5,1854.5,2.140933,175.90475,2.140933,4.09525,,,,,,,,,,,,
10,180,244.3111572,1864.400513,11.608945,176.73746,1.608945,3.26254,,,,,,,,,,,,
20,180,336,1870,22.010048,177.30795,2.010048,2.69205,,,,,,,,,,,,
30,180,429.829071,1875.746338,32.061695,177.88327,2.061695,2.11673,,,,,,,,,,,,
40,180,524.6464844,1884.481079,41.776875,178.436,1.776875,1.564,,,,,,,,,,,,
50,180,617.9691772,1890.614136,51.186604,178.9642,1.186604,1.0358,,,,,,,,,,,,
60,180,715.0390015,1892.251343,60.887707,179.14188,0.887707,0.85812,,,,,,,,,,,,
70,180,817.5889893,1896.075317,70.9435,179.31259,0.9435,0.68741,,,,,,,,,,,,
80,180,917.9103394,1901.211426,80.51347,179.64218,0.51347,0.35782,,,,,,,,,,,,
90,180,1018.555725,1899.39856,89.92552,179.57266,0.07448,0.42734,,,,,,,,,,,,
100,180,1116.361084,1898.5896,99.091095,179.50735,0.908905,0.49265,,,,,,,,,,,,
110,180,1215.637573,1900.058716,108.61188,179.63669,1.38812,0.36331,,,,,,,,,,,,
120,180,1317.969727,1896.726929,118.73433,179.40457,1.26567,0.59543,,,,,,,,,,,,
130,180,1415.356201,1889.044067,128.60281,178.89175,1.39719,1.10825,,,,,,,,,,,,
140,180,1510.757935,1886.678711,138.39578,178.64651,1.60422,1.35349,,,,,,,,,,,,
150,180,1600.572876,1880.959717,147.81607,178.19406,2.18393,1.80594,,,,,,,,,,,,
160,180,1695.220337,1873.571045,158.17859,177.6193,1.82141,2.3807,,,,,,,,,,,,
170,180,1782.281982,1866.252197,168.35751,176.87857,1.64249,3.12143,,,,,,,,,,,,
180,180,1871.025513,1858.750244,178.5679,176.3859,1.4321,3.6141,,,,,,,,,,,,
