x, y, x_pixel, y_pixel,x_mm,y_mm
0,0,267.52899169921875,103.077880859375,-0.5217670001805175,1.635284392933272
10,0,300.32244873046875,100.87815856933594,9.520154045851228,1.0762403822866276
20,0,334.3505554199219,98.91448211669922,19.571173126477234,0.5725379429921702
30,0,370.0578918457031,97.00672912597656,29.741561071805208,0.07790077703009501
40,0,406.54144287109375,96.2348403930664,39.78792634978595,-0.12395523253772467
50,0,444.9300537109375,95.0495147705078,50.05779676379697,-0.4361061753746469
60,0,483.0752868652344,94.41352081298828,60.03630146266309,-0.6047680794291637
70,0,522.5934448242188,94.53549194335938,70.20987849309782,-0.5723501042336636
80,0,562.2080078125,94.83452606201172,80.301724564582,-0.4930192807018159
0,10,267.9413452148437,138.53289794921875,-0.39330353322542067,10.716928437785526
10,10,301.037109375,136.50746154785156,9.735064745919175,10.174066559610367
20,10,334.88702392578125,135.88304138183594,19.726727143646286,10.007426077683107
30,10,370.5926208496094,135.03036499023438,29.89117080414104,9.780430005454292
40,10,407.1185607910156,133.46107482910156,39.944402925408355,9.36433784546088
50,10,444.71685791015625,133.74085998535156,50.001462930842905,9.43837355823132
60,10,483.18060302734375,133.35671997070312,60.063609564674806,9.336752055335069
70,10,523.1353149414062,133.8142852783203,70.34851384098718,9.457792643641056
80,10,562.459716796875,134.51858520507812,80.3656224518054,9.64449857795097
0,20,268.4580993652344,173.38485717773438,-0.23239450135118034,20.32680762104104
10,20,301.24822998046875,173.33457946777344,9.798519177017923,20.313066902088593
20,20,335.2386169433594,172.54307556152344,19.828627292170097,20.09656562374508
30,20,370.753173828125,172.4562530517578,29.936078019849248,20.072794257226093
40,20,407.4418640136719,172.20143127441406,40.0320334829795,20.003004100981514
50,20,444.7641296386719,172.48757934570312,50.013954436248184,20.08137231563373
60,20,483.5557556152344,172.55630493164062,60.16086398659252,20.10019806258606
70,20,522.4837646484375,173.3351593017578,70.18182252090347,20.313229644301913
80,20,561.6508178710938,174.26161193847656,80.16023220502217,20.56611569205276
0,30,269.5018005371094,208.17208862304688,0.09233076942500418,29.338295295579456
10,30,301.6568908691406,208.48336791992188,9.921307932757273,29.415536238064448
20,30,336.14849853515625,209.0684509277344,20.092157819940823,29.560856886146524
30,30,370.9827270507813,209.5669860839844,30.00027073924025,29.684584730060493
40,30,407.3467712402344,209.922119140625,40.00626153444489,29.772722052104797
50,30,445.109619140625,210.4078521728516,50.105235266210514,29.893361136145273
60,30,483.0269165039063,211.8796844482422,60.023762314584076,30.259082203757742
70,30,522.1481323242188,212.45196533203125,70.09594208985482,30.40138493026123
80,30,561.3582153320312,213.8828887939453,80.08594195980476,30.757730139339486
0,40,270.5474548339844,243.4381103515625,0.41730544189708496,38.73152926684779
10,40,302.8962097167969,244.46994018554688,10.293345977608084,39.04431439970821
20,40,336.37066650390625,245.27981567382807,20.156466410413003,39.291743678963854
30,40,371.5037536621094,246.20510864257807,30.145922255584637,39.576436419388386
40,40,407.9410095214844,247.52096557617188,40.16728176045086,39.98490527450784
50,40,444.4158630371094,248.69680786132807,49.92191732143584,40.35329553401888
60,40,482.4755859375,250.0433349609375,59.88079207412264,40.77894739738244
70,40,521.5484619140625,251.65542602539065,69.94248510088903,41.29321317045279
80,40,559.3751831054688,253.47027587890625,79.58232279221983,41.87775138016164
0,50,272.07977294921875,277.46807861328125,0.8928839875253942,49.09900353494507
10,50,303.6408996582031,279.3154296875,10.516657772381222,49.47089876640652
20,50,337.61932373046875,280.4527282714844,20.517626142713027,49.67100368567131
30,50,372.3563232421875,282.4556884765625,30.384103039083598,49.96289490250595
40,50,407.7679443359375,284.2751770019531,40.12039459406432,50.151415906622475
50,50,444.1210632324219,286.3586120605469,49.84400052081571,50.26358466163455
60,50,481.6603393554688,288.041259765625,59.669334184152575,50.26177295486005
70,50,520.0556030273438,289.567626953125,69.5603435588238,50.17989427008004
80,50,558.2473754882812,291.20281982421875,79.29584941302562,49.998018024553886
