x, y, x_pixel, y_pixel,x_mm,y_mm
0,0,373.2507019042969,145.3634033203125,5.509688275136774,5.612316906060336
10,0,428.5904846191406,137.48828125,14.639990783562816,4.245892289323368
20,0,486.5834045410156,129.93350219726562,24.0109500122226,2.930223066771674
30,0,544.4480590820312,124.54572296142578,33.18087613835028,1.9890099982614053
40,0,604.0321044921875,119.72203063964844,42.4549309596459,1.1442468746374637
50,0,666.5341796875,114.28939819335938,52.019374014141455,0.19044986380080076
60,0,728.9331665039062,110.74130249023438,61.419478221771236,-0.4338624706112846
70,0,793.5321044921875,106.90743255615234,71.01387972927378,-1.1096945371185356
80,0,858.3458862304688,104.426025390625,80.52066280042837,-1.547803896175271
90,0,923.25390625,101.48980712890624,89.94519902233935,-2.0669162841317323
100,0,988.943115234375,99.64637756347656,99.41508810336924,-2.3932189511383335
110,0,1054.8489990234375,99.56167602539062,108.88520697773075,-2.4082191254944902
120,0,1121.4510498046875,100.34551239013672,118.47152491198685,-2.2694305469776914
130,0,1185.947998046875,102.09654235839844,127.82384595588749,-1.9595851294770164
140,0,1250.908203125,104.71603393554688,137.36997233601903,-1.496572895593296
150,0,1313.74169921875,109.15101623535156,146.7777334365482,-0.7140407941451272
160,0,1375.6800537109375,113.50367736816406,156.25947493530757,0.0522911203375962
170,0,1436.218505859375,119.1694793701172,165.74210809249277,1.04735259089885
180,0,1495.474609375,124.63003540039062,175.20765507918927,2.0037578082101213
190,0,1552.9725341796875,131.2751007080078,184.4924477048356,3.1642116861760456
200,0,1609.390380859375,137.33084106445312,193.5577340122998,4.218522482858649
0,10,365.7868041992188,198.61672973632807,4.263092774608431,14.723679738473113
10,10,422.5015563964844,191.49456787109372,13.644758589331069,13.517626115975094
20,10,479.4363098144531,185.681884765625,22.86624515592893,12.530535162209485
30,10,539.3639526367188,179.93173217773438,32.381908714634044,11.551570006301286
40,10,599.6909790039062,175.14312744140625,41.784615143657156,10.73439438714021
50,10,662.0455322265625,170.5639190673828,51.33767695426544,9.951307777642484
60,10,725.5933227539062,166.36595153808594,60.91980861237656,9.231990909119965
70,10,791.044921875,162.87289428710938,70.64681712009639,8.632410844876922
