x, y, x_pixel, y_pixel,x_mm,y_mm,err_x,err_y,x_mm_,y_mm_,err_x,err_y,,,,,,,,,,,
20,20,337.8198547,328.6697083,21.96987418,20.64221971,1.969874176,0.642219714,22.2107486,20.89899432,2.210748603,0.898994322,,,,,,,,,,,
30,20,431.6532288,320.8202515,32.1081638,19.75662415,2.108163797,0.243375848,32.25049032,19.98688994,2.250490321,0.013110062,,,,,,,,,,,
40,20,526.125061,318.1811218,42.04176726,19.45875493,2.041767259,0.541245067,41.9235379,19.67896944,1.923537898,0.321030557,,,,,,,,,,,
50,20,621.5,312.5,51.73672467,18.81738806,1.736724674,1.182611935,51.53410407,19.01404718,1.534104072,0.985952817,,,,,,,,,,,
60,20,721.4822998,309.1158447,61.57201445,18.43525211,1.572014448,1.56474789,61.51217898,18.61665319,1.512178982,1.383346813,,,,,,,,,,,
70,20,818.7992554,307.2806396,70.91067104,18.22800232,0.910671036,1.771997676,71.03403162,18.40075261,1.034031623,1.599247395,,,,,,,,,,,
80,20,922.5317383,304.7411804,80.73107588,17.94120216,0.731075881,2.05879784,80.90116755,18.10155288,0.901167545,1.898447117,,,,,,,,,,,
90,20,1024.583618,302.4067993,90.36747933,17.67754793,0.367479331,2.322452071,90.40925571,17.82606815,0.409255712,2.17393185,,,,,,,,,,,
100,20,1126.023071,307.1125183,99.99831894,18.20901622,0.001681064,1.790983783,99.88056579,18.38096047,0.119434211,1.619039531,,,,,,,,,,,
110,20,1226.791992,306.528595,109.6604189,18.14307049,0.33958113,1.856929509,109.5122825,18.31220022,0.487717545,1.687799784,,,,,,,,,,,
120,20,1325,311.5,119.1990952,18.70447455,0.800904845,1.295525449,119.1752117,18.89671933,0.824788319,1.103280671,,,,,,,,,,,
130,20,1424.373047,315.7806396,129.0255616,19.18777829,0.974438376,0.812221708,129.1506615,19.3983576,0.849338456,0.601642403,,,,,,,,,,,
140,20,1517.86731,321.841217,138.5174666,19.87184255,1.482533374,0.128157445,138.6391257,20.10584369,1.360874321,0.105843686,,,,,,,,,,,
150,20,1613.986206,329.8313599,148.6429841,20.7732308,1.357015896,0.773230804,148.5919328,21.03349525,1.408067181,1.033495246,,,,,,,,,,,
160,20,1704.135132,336.1231079,158.5466397,21.48254997,1.453360287,1.482549969,158.3923648,21.75978183,1.607635182,1.759781831,,,,,,,,,,,
170,20,1796.879272,344.2232666,169.0203395,22.39501307,0.979660533,2.395013073,169.085151,22.68930104,0.914849037,2.689301039,,,,,,,,,,,
180,20,1883.83252,354.9226379,178.5548528,23.59877122,1.445147187,3.598771221,178.6736608,23.90751008,1.326339166,3.907510076,,,,,,,,,,,
0,30,146.7878418,431.8293762,1.289362386,32.17575851,1.289362386,2.175758506,1.134694422,32.37185024,1.134694422,2.371850242,,,,,,,,,,,
10,30,235.9230042,422.7972412,10.84263574,31.17695045,0.842635745,1.176950451,10.64658448,31.40070783,0.64658448,1.400707832,,,,,,,,,,,
20,30,329,418,21.00776856,30.64541429,1.00776856,0.645414287,21.23396777,30.88280909,1.233967768,0.882809089,,,,,,,,,,,
30,30,423.9498596,414.058197,31.28462969,30.20813498,1.284629691,0.208134984,31.44725934,30.45611231,1.447259339,0.456112307,,,,,,,,,,,
40,30,516.3057861,409.2060242,41.02442866,29.66922947,1.024428663,0.330770534,40.92856431,29.92938831,0.928564314,0.070611691,,,,,,,,,,,
50,30,617.3994751,403.5742798,51.32664777,29.04288889,1.326647773,0.95711111,51.12243512,29.31590764,1.12243512,0.684092358,,,,,,,,,,,
