run_id, degree,r2_x,r2_y,mae_x,mae_y,rmse_x,rmse_y, r2_mean, mae_mean, rmse_mean
33_1_Corner_3_20, 3, 0.9999888908755052, 0.9999906421427112, 0.16249530900964512, 0.14286375880171487, 0.2107996631377379, 0.18523537295085915, 0.9999897665091082, 0.15267953390568, 0.1980175180442985
18_2_Center_6_10, 6, 0.999557429295981, 0.9998566611043905, 0.9015863922606495, 0.5679504273029775, 1.2738756799897817, 0.7249661720162845, 0.9997070452001857, 0.7347684097818135, 0.9994209260030331
30_3_Center_6_10, 6, 0.999708936976528, 0.9998952518503159, 0.7371034040532051, 0.4868480365206299, 1.0330687712170725, 0.619739097396399, 0.9998020944134219, 0.6119757202869175, 0.8264039343067358
11_4_Corner_6_20, 6, 0.9993824511996936, 0.9997510031647694, 1.0740540020250164, 0.7087783065782826, 1.5716854651060517, 0.955504262599388, 0.9995667271822315, 0.8914161543016494, 1.26359486385272
9_5_Corner_3_20, 3, 0.999988189712205, 0.9999894776215805, 0.17127883915702005, 0.15407872003366085, 0.21735029601949749, 0.19642315088794415, 0.9999888336668927, 0.16267877959534044, 0.20688672345372083
36_6_Center_6_20, 6, 0.9994956892743461, 0.9998519550935016, 1.0077534773539403, 0.575132739071822, 1.4202967656852017, 0.7367708760718547, 0.9996738221839239, 0.7914431082128812, 1.0785338208785282
24_7_Center_6_20, 6, 0.9996815050022264, 0.9998935255484906, 0.8072765151910574, 0.4897607677156812, 1.1287072211581206, 0.6248250332701876, 0.9997875152753586, 0.6485186414533692, 0.876766127214154
29_8_Corner_6_10, 6, 0.999557429295981, 0.9998566611043905, 0.9015863922606502, 0.5679504273029764, 1.2738756799897824, 0.7249661720162839, 0.9997070452001857, 0.7347684097818132, 0.9994209260030331
4_9_Center_3_10, 3, 0.9999891656029716, 0.999991015883856, 0.1564217714541368, 0.14196426164248976, 0.1993141300504158, 0.18149864791421053, 0.9999900907434138, 0.1491930165483133, 0.19040638898231316
23_10_Corner_6_20, 6, 0.9994493658960247, 0.9998505100848035, 1.0541064727686635, 0.5796325354469258, 1.4840944767436628, 0.7403578115030933, 0.9996499379904141, 0.8168695041077947, 1.112226144123378
7_11_Corner_1_20, 1, 0.999417742842601, 0.9994423652875062, 1.145279196132519, 1.0928327393089037, 1.5261155361229475, 1.4299162956192162, 0.9994300540650536, 1.1190559677207115, 1.4780159158710817
17_12_Corner_6_10, 6, 0.9994965909748088, 0.9998529054984252, 0.9635496486841275, 0.5744760219213392, 1.3586144016488702, 0.7344021417276186, 0.9996747482366171, 0.7690128353027333, 1.0465082716882443
13_13_Corner_1_10, 1, 0.9993907030646779, 0.9993913716685239, 1.1280992096299651, 1.1305020320433863, 1.4946868444084602, 1.4938665319942466, 0.9993910373666008, 1.1293006208366756, 1.4942766882013534
6_14_Center_6_10, 6, 0.999591149750605, 0.9998918826776803, 0.8757039245938372, 0.4973910518136337, 1.2243845723933693, 0.6296270180346457, 0.9997415162141426, 0.6865474882037355, 0.9270057952140075
35_15_Corner_6_20, 6, 0.9995539134578953, 0.9998913895696072, 0.9601032489827894, 0.49776936920651077, 1.3357942088580563, 0.6310612052514828, 0.9997226515137513, 0.7289363090946501, 0.9834277070547696
2_16_Center_1_10, 1, 0.9994563531631913, 0.999451657890915, 1.073393125438919, 1.0738880896074723, 1.411868171949915, 1.4179519502831384, 0.9994540055270531, 1.0736406075231957, 1.4149100611165268
20_17_Center_1_20, 1, 0.99946084363761, 0.9994433923931068, 1.0967101066035474, 1.0877739531894468, 1.4685453515503115, 1.4285988095363291, 0.9994521180153584, 1.092242029896497, 1.4485720805433204
10_18_Center_3_20, 3, 0.99998986675112, 0.9999906944097195, 0.15823009033641008, 0.141211969655551, 0.20132807931322927, 0.18471734540927903, 0.9999902805804197, 0.14972102999598053, 0.19302271236125415
27_19_Corner_3_10, 3, 0.9999891656029716, 0.999991015883856, 0.15642177145413683, 0.14196426164248976, 0.1993141300504159, 0.18149864791421053, 0.9999900907434138, 0.1491930165483133, 0.1904063889823132
19_20_Corner_1_20, 1, 0.9994459519671582, 0.9994468119377804, 1.1157869752059852, 1.0866488738039763, 1.4886880571049292, 1.4242037172182949, 0.9994463819524693, 1.1012179245049807, 1.4564458871616122
3_21_Corner_3_10, 3, 0.9999911060388665, 0.9999923249296686, 0.14069589885884615, 0.1297268888007235, 0.18058568831117058, 0.16775554997783476, 0.9999917154842676, 0.1352113938297848, 0.17417061914450266
25_22_Corner_1_10, 1, 0.9993878142162612, 0.9993896881482922, 1.1356863702841977, 1.1306180709012994, 1.498226020012388, 1.4959311892358806, 0.9993887511822768, 1.1331522205927484, 1.4970786046241344
12_23_Center_6_20, 6, 0.9994956892743461, 0.9998519550935016, 1.0077534773539403, 0.575132739071822, 1.4202967656852017, 0.7367708760718547, 0.9996738221839239, 0.7914431082128812, 1.0785338208785282
5_24_Corner_6_10, 6, 0.999708936976528, 0.9998952518503159, 0.7371034040532052, 0.4868480365206299, 1.0330687712170725, 0.6197390973963989, 0.9998020944134219, 0.6119757202869176, 0.8264039343067358
34_25_Center_3_20, 3, 0.999990289903677, 0.9999910829444567, 0.1537269116620618, 0.14032874637677034, 0.19707964200296912, 0.1808199942632922, 0.9999906864240669, 0.14702782901941608, 0.18894981813313066
26_26_Center_1_10, 1, 0.9992312114783528, 0.9992262076574819, 1.3017538291711215, 1.2723251988976083, 1.6789554032313945, 1.6844104574696015, 0.9992287095679173, 1.287039514034365, 1.6816829303504979
