x_pixel, y_pixel, x_real, y_real, distored_x, distored_y, pred_x, pred_y, error_x, error_y
232.51173400878906, 462.3307800292969, -100.0, -100.0, 0.0, 0.0, -93.40096720136293, -97.0521737385722, -6.599032798637069, -2.9478262614278066
283.8473205566406, 455.5033264160156, -90.0, -100.0, 9.530692249747455, -1.11691224122577, -87.04962251069527, -97.47097607589872, -2.950377489304728, -2.5290239241012813
337.45306396484375, 449.3658142089844, -80.0, -100.0, 19.48302362746694, -2.100543812859732, -79.62413091674641, -97.78559562682153, -0.3758690832535905, -2.2144043731784677
391.8471374511719, 443.8365478515625, -70.0, -100.0, 29.582153339242932, -2.9699921541683723, -71.3899302549708, -98.02428699915791, 1.3899302549708068, -1.9757130008420916
448.4239196777344, 438.533203125, -60.0, -100.0, 40.08733981424568, -3.791878995036228, -62.24486610891097, -98.2371741075196, 2.244866108910969, -1.762825892480393
506.3509521484375, 434.5027770996094, -50.0, -100.0, 50.84170527763334, -4.375327001634381, -52.435473447724206, -98.29898969937969, 2.435473447724206, -1.701010300620311
564.523193359375, 431.9627380371094, -40.0, -100.0, 61.63917907961113, -4.6831914281780005, -42.29996828586586, -98.20794533012096, 2.2999682858658588, -1.792054669879036
623.3211669921875, 429.20166015625, -30.0, -100.0, 72.5542187800237, -5.0301360640821855, -31.955998483443892, -98.22817139068621, 1.9559984834438922, -1.7718286093137863
682.427001953125, 426.7598876953125, -20.0, -100.0, 83.52645224209276, -5.31734158561836, -21.57282763043486, -98.30303140602311, 1.5728276304348583, -1.6969685939768908
741.5912475585938, 423.72979736328125, -10.0, -100.0, 94.51214658499725, -5.712974132897409, -11.29263313373184, -98.58435059195769, 1.2926331337318402, -1.415649408042313
800.4140014648438, 421.4405822753906, 0.0, -100.0, 105.43323128860011, -5.972860686931336, -1.1863550808977408, -98.88639551519486, 1.1863550808977408, -1.113604484805137
860.8221435546875, 421.08624267578125, 10.0, -100.0, 116.6429802478239, -5.871297894986986, 9.108660132864344, -99.02813765871417, 0.891339867135656, -0.9718623412858278
920.956298828125, 421.26654052734375, 20.0, -100.0, 127.80029441168836, -5.671824331965337, 19.299087717508883, -99.21563366256007, 0.7009122824911174, -0.7843663374399341
979.5337524414062, 422.6705322265625, 30.0, -100.0, 138.66443759588924, -5.25083105146099, 29.259549468015535, -99.3167591934326, 0.7404505319844645, -0.6832408065673974
1038.276123046875, 425.2917175292969, 40.0, -100.0, 149.5543155825841, -4.604790799732141, 39.36974166208901, -99.31703140754456, 0.6302583379109876, -0.6829685924554383
1094.9822998046875, 427.15283203125, 50.0, -100.0, 160.0686691832387, -4.104659021968161, 49.33013308550474, -99.51553631798808, 0.6698669144952589, -0.4844636820119206
1151.2994384765625, 430.1199951171875, 60.0, -100.0, 170.50593489357345, -3.401560157550393, 59.48581549700444, -99.59902006460177, 0.5141845029955618, -0.40097993539822596
1206.986083984375, 432.8863220214844, 70.0, -100.0, 180.82630103146303, -2.737305241442599, 69.81735632338851, -99.78947183028058, 0.18264367661149095, -0.21052816971942434
1261.486328125, 436.4644470214844, 80.0, -100.0, 190.92234959127074, -1.9266287782710816, 80.15987727017844, -99.90088458646878, -0.15987727017844122, -0.09911541353122288
1314.192626953125, 440.678955078125, 90.0, -100.0, 200.681835519495, -1.0036106885370153, 90.26411186264514, -99.96027435561834, -0.2641118626451373, -0.039725644381661596
1364.537353515625, 445.3664245605469, 100.0, -100.0, 209.99999994571562, -2.8246525114043924e-14, 99.82092768484463, -99.99969445645874, 0.17907231515536637, -0.0003055435412591123
228.46385192871094, 515.2239990234375, -100.0, -90.0, -0.8359917521337685, 9.73223108815869, -94.18711540077095, -89.00126078599389, -5.812884599229051, -0.9987392140061075
280.35064697265625, 508.6311340332031, -90.0, -90.0, 8.789225259729564, 8.6618495203886, -87.55352763316377, -89.41774469693166, -2.4464723668362325, -0.5822553030683366
333.9425964355469, 503.6552429199219, -80.0, -90.0, 18.729268894483067, 7.893706808851988, -79.9210279547572, -89.59117637173807, -0.0789720452428071, -0.40882362826192775
389.6390380859375, 498.1677551269531, -70.0, -90.0, 29.061876683343264, 7.0370474497109194, -71.28755783374844, -89.8465887509802, 1.287557833748437, -0.15341124901979697
446.3388366699219, 493.48345947265625, -60.0, -90.0, 39.580408820907245, 6.330951192570814, -61.935457737812115, -89.99161687742728, 1.935457737812115, -0.008383122572723778
504.23382568359375, 489.2683410644531, -50.0, -90.0, 50.32088869920453, 5.714478573859314, -51.98961737002374, -90.08712016859673, 1.989617370023737, 0.08712016859672644
563.32080078125, 486.63885498046875, -40.0, -90.0, 61.27977371682751, 5.393319034761806, -41.597337787685035, -89.9754471781911, 1.597337787685035, -0.024552821808896397
622.831298828125, 483.9433898925781, -30.0, -90.0, 72.3182807592241, 5.061146949523333, -31.072964282405636, -89.93878443476203, 1.0729642824056356, -0.06121556523797267
682.01904296875, 481.9396667480469, -20.0, -90.0, 83.29597939248077, 4.855498499247887, -20.666508970361832, -89.87942310226975, 0.6665089703618321, -0.12057689773024549
742.4259033203125, 479.08514404296875, -10.0, -90.0, 94.50295496550565, 4.496447291087862, -10.212877420007004, -90.04561156419523, 0.21287742000700405, 0.045611564195226606
802.4293823242188, 477.6309509277344, 0.0, -90.0, 105.63180683000085, 4.39427106918136, 0.005623790862841815, -90.10042756903172, -0.005623790862841815, 0.1004275690317229
862.356201171875, 476.1944885253906, 10.0, -90.0, 116.74697072207526, 4.295144786575481, 10.048583366382886, -90.26461757986576, -0.04858336638288563, 0.2646175798657566
