x_pixel, y_pixel, x_real, y_real, distored_x, distored_y, pred_x, pred_y, error_x, error_y
232.51173400878906, 462.3307800292969, -100.0, -100.0, 0.0, 0.0, -94.71683051358984, -94.71997917652133, -5.283169486410159, -5.280020823478665
283.8473205566406, 455.5033264160156, -90.0, -100.0, 9.530692249747455, -1.11691224122577, -86.16659067232416, -95.70445771978036, -3.833409327675838, -4.295542280219635
337.45306396484375, 449.3658142089844, -80.0, -100.0, 19.48302362746694, -2.100543812859732, -77.24090912023894, -96.56985178230686, -2.759090879761061, -3.4301482176931444
391.8471374511719, 443.8365478515625, -70.0, -100.0, 29.582153339242932, -2.9699921541683723, -68.1858433764192, -97.33344987525692, -1.8141566235808, -2.6665501247430825
448.4239196777344, 438.533203125, -60.0, -100.0, 40.08733981424568, -3.791878995036228, -58.76862238701811, -98.05427113257421, -1.2313776129818876, -1.9457288674257853
506.3509521484375, 434.5027770996094, -50.0, -100.0, 50.84170527763334, -4.375327001634381, -49.13041363318277, -98.56284402639785, -0.8695863668172308, -1.4371559736021453
564.523193359375, 431.9627380371094, -40.0, -100.0, 61.63917907961113, -4.6831914281780005, -39.455457695206206, -98.8264178213816, -0.5445423047937936, -1.1735821786184033
623.3211669921875, 429.20166015625, -30.0, -100.0, 72.5542187800237, -5.0301360640821855, -29.675911940861482, -99.12458737233874, -0.3240880591385178, -0.8754126276612624
682.427001953125, 426.7598876953125, -20.0, -100.0, 83.52645224209276, -5.31734158561836, -19.84605843180279, -99.36959651414718, -0.1539415681972116, -0.630403485852824
741.5912475585938, 423.72979736328125, -10.0, -100.0, 94.51214658499725, -5.712974132897409, -10.004915799326, -99.71090913990395, 0.004915799325999615, -0.2890908600960529
800.4140014648438, 421.4405822753906, 0.0, -100.0, 105.43323128860011, -5.972860686931336, -0.22251995190620733, -99.93164984252476, 0.22251995190620733, -0.06835015747523698
860.8221435546875, 421.08624267578125, 10.0, -100.0, 116.6429802478239, -5.871297894986986, 9.818163878137597, -99.83099387373397, 0.1818361218624034, -0.1690061262660265
920.956298828125, 421.26654052734375, 20.0, -100.0, 127.80029441168836, -5.671824331965337, 19.8118744790373, -99.6434020626475, 0.18812552096269997, -0.3565979373525039
979.5337524414062, 422.6705322265625, 30.0, -100.0, 138.66443759588924, -5.25083105146099, 29.543574652608527, -99.2592719006495, 0.4564253473914732, -0.7407280993505054
1038.276123046875, 425.2917175292969, 40.0, -100.0, 149.5543155825841, -4.604790799732141, 39.29941198897791, -98.67514475061922, 0.7005880110220915, -1.324855249380775
1094.9822998046875, 427.15283203125, 50.0, -100.0, 160.0686691832387, -4.104659021968161, 48.718880377580405, -98.22098521642907, 1.2811196224195953, -1.7790147835709291
1151.2994384765625, 430.1199951171875, 60.0, -100.0, 170.50593489357345, -3.401560157550393, 58.070718281803835, -97.58650713135542, 1.9292817181961652, -2.413492868644582
1206.986083984375, 432.8863220214844, 70.0, -100.0, 180.82630103146303, -2.737305241442599, 67.31830912392323, -96.98661383613111, 2.6816908760767717, -3.013386163868887
1261.486328125, 436.4644470214844, 80.0, -100.0, 190.92234959127074, -1.9266287782710816, 76.36653998096858, -96.25674094714934, 3.6334600190314177, -3.743259052850661
1314.192626953125, 440.678955078125, 90.0, -100.0, 200.681835519495, -1.0036106885370153, 85.11490958138296, -95.42724504974856, 4.88509041861704, -4.572754950251436
1364.537353515625, 445.3664245605469, 100.0, -100.0, 209.99999994571562, -2.8246525114043924e-14, 93.46951855266187, -94.52641146269023, 6.530481447338133, -5.473588537309766
228.46385192871094, 515.2239990234375, -100.0, -90.0, -0.8359917521337685, 9.73223108815869, -95.53175635596196, -86.05856950196195, -4.46824364403804, -3.941430498038045
280.35064697265625, 508.6311340332031, -90.0, -90.0, 8.789225259729564, 8.6618495203886, -86.89053715584194, -87.00313777074102, -3.1094628441580596, -2.99686222925898
333.9425964355469, 503.6552429199219, -80.0, -90.0, 18.729268894483067, 7.893706808851988, -77.97027052102307, -87.67811582126862, -2.0297294789769325, -2.3218841787313806
389.6390380859375, 498.1677551269531, -70.0, -90.0, 29.061876683343264, 7.0370474497109194, -68.69886568279682, -88.43144156144739, -1.3011343172031786, -1.5685584385526141
446.3388366699219, 493.48345947265625, -60.0, -90.0, 39.580408820907245, 6.330951192570814, -59.26286355906244, -89.05044404945507, -0.7371364409375616, -0.9495559505449336
504.23382568359375, 489.2683410644531, -50.0, -90.0, 50.32088869920453, 5.714478573859314, -49.629483928702214, -89.58938218188024, -0.37051607129778574, -0.4106178181197606
563.32080078125, 486.63885498046875, -40.0, -90.0, 61.27977371682751, 5.393319034761806, -39.8022603311001, -89.86521726008444, -0.19773966889989936, -0.13478273991556478
622.831298828125, 483.9433898925781, -30.0, -90.0, 72.3182807592241, 5.061146949523333, -29.904470584619844, -90.1507568413471, -0.09552941538015602, 0.15075684134710343
682.01904296875, 481.9396667480469, -20.0, -90.0, 83.29597939248077, 4.855498499247887, -20.06218136542455, -90.32373085127035, 0.062181365424549995, 0.32373085127035495
742.4259033203125, 479.08514404296875, -10.0, -90.0, 94.50295496550565, 4.496447291087862, -10.014990175038392, -90.6329929217441, 0.01499017503839184, 0.6329929217441048
802.4293823242188, 477.6309509277344, 0.0, -90.0, 105.63180683000085, 4.39427106918136, -0.03860430945121607, -90.71372562828194, 0.03860430945121607, 0.7137256282819351
862.356201171875, 476.1944885253906, 10.0, -90.0, 116.74697072207526, 4.295144786575481, 9.924993108016622, -90.79175277726235, 0.07500689198337795, 0.7917527772623458
