run_id, degree,r2_x,r2_y,mae_x,mae_y,rmse_x,rmse_y, r2_mean, mae_mean, rmse_mean
16_1_Center_3_10, 3, 0.9999891656029716, 0.999991015883856, 0.1564217714541368, 0.14196426164248976, 0.1993141300504158, 0.18149864791421053, 0.9999900907434138, 0.1491930165483133, 0.19040638898231316
3_2_Corner_3_10, 3, 0.9999907330032863, 0.9999920921619376, 0.14432494769039603, 0.13190674342909203, 0.1843339034206707, 0.17028037534831672, 0.9999914125826119, 0.13811584555974404, 0.17730713938449372
25_3_Corner_1_10, 1, 0.9994563531631913, 0.999451657890915, 1.073393125438919, 1.0738880896074723, 1.4118681719499147, 1.4179519502831384, 0.9994540055270531, 1.0736406075231957, 1.4149100611165264
14_4_Center_1_10, 1, 0.9994859353797916, 0.9994907238441613, 1.0268843674063561, 1.0429802440279305, 1.372917917222599, 1.3665086552019845, 0.9994883296119764, 1.0349323057171433, 1.3697132862122916
1_5_Corner_1_10, 1, 0.9994563531631913, 0.999451657890915, 1.073393125438919, 1.0738880896074723, 1.4118681719499147, 1.4179519502831384, 0.9994540055270531, 1.0736406075231957, 1.4149100611165264
19_6_Corner_1_20, 1, 0.9993491635056705, 0.9993231367320522, 1.2181765031746379, 1.1913181353163025, 1.6134887595883494, 1.5753831224420733, 0.9993361501188613, 1.2047473192454703, 1.5944359410152114
9_7_Corner_3_20, 3, 0.99998986675112, 0.9999906944097195, 0.15823009033640997, 0.141211969655551, 0.201328079313229, 0.18471734540927903, 0.9999902805804197, 0.14972102999598047, 0.193022712361254
22_8_Center_3_20, 3, 0.99998986675112, 0.9999906944097195, 0.15823009033641008, 0.141211969655551, 0.20132807931322927, 0.18471734540927903, 0.9999902805804197, 0.14972102999598053, 0.19302271236125415
13_9_Corner_1_10, 1, 0.9993888578992814, 0.9993846540883061, 1.1302388260016425, 1.1361489547046426, 1.496948352249107, 1.5020879943856849, 0.9993867559937938, 1.1331938903531427, 1.499518173317396
12_10_Center_6_20, 6, 0.9995475920857931, 0.9998750086237453, 0.9607307315037311, 0.5316056345849849, 1.345225504080047, 0.6769798467708382, 0.9997113003547693, 0.7461681830443581, 1.0111026754254426
17_11_Corner_6_10, 6, 0.9996843620527798, 0.9998896409560241, 0.7671102938373391, 0.5001003867609757, 1.0757969788986712, 0.6361209223973419, 0.9997870015044019, 0.6336053402991574, 0.8559589506480065
36_12_Center_6_20, 6, 0.9997215011640289, 0.9998951289887762, 0.758145470939096, 0.48619548516110156, 1.0554597784305002, 0.6201024440800147, 0.9998083150764026, 0.6221704780500987, 0.8377811112552574
10_13_Center_3_20, 3, 0.9999884986067133, 0.9999904754105123, 0.16976296668118354, 0.15092425682058214, 0.2144890979670196, 0.186878288702257, 0.9999894870086128, 0.16034361175088285, 0.2006836933346383
34_14_Center_3_20, 3, 0.9999891582557291, 0.9999909060799694, 0.16223518903878187, 0.13952674796098127, 0.20824739394175262, 0.18260441792394133, 0.9999900321678492, 0.15088096849988158, 0.19542590593284698
24_15_Center_6_20, 6, 0.9994956892743461, 0.9998519550935016, 1.0077534773539403, 0.575132739071822, 1.4202967656852017, 0.7367708760718547, 0.9996738221839239, 0.7914431082128812, 1.0785338208785282
33_16_Corner_3_20, 3, 0.99998986675112, 0.9999906944097195, 0.15823009033640997, 0.141211969655551, 0.201328079313229, 0.18471734540927903, 0.9999902805804197, 0.14972102999598047, 0.193022712361254
21_17_Corner_3_20, 3, 0.99998986675112, 0.9999906944097195, 0.15823009033640997, 0.141211969655551, 0.201328079313229, 0.18471734540927903, 0.9999902805804197, 0.14972102999598047, 0.193022712361254
30_18_Center_6_10, 6, 0.9996657631511713, 0.9998961976195208, 0.7916832568292683, 0.48726766593904647, 1.1070388937937066, 0.6169349466708941, 0.999780980385346, 0.6394754613841573, 0.8619869202323003
11_19_Corner_6_20, 6, 0.9995288974321471, 0.9998499722311602, 0.9761396123586893, 0.576924309403362, 1.372738238489642, 0.7416884919419389, 0.9996894348316536, 0.7765319608810257, 1.0572133652157905
20_20_Center_1_20, 1, 0.9991901463839261, 0.99916679033774, 1.406664905878303, 1.3181045190310672, 1.7998373438440398, 1.7478850348216233, 0.9991784683608331, 1.362384712454685, 1.7738611893328315
8_21_Center_1_20, 1, 0.99946084363761, 0.9994433923931068, 1.0967101066035474, 1.0877739531894468, 1.4685453515503115, 1.4285988095363291, 0.9994521180153584, 1.092242029896497, 1.4485720805433204
32_22_Center_1_20, 1, 0.9994487033252767, 0.9994478179471328, 1.1071940539352831, 1.0902792688616862, 1.4849871039484206, 1.422908123239155, 0.9994482606362047, 1.0987366613984846, 1.4539476135937877
2_23_Center_1_10, 1, 0.9992312114783528, 0.9992262076574819, 1.3017538291711215, 1.2723251988976083, 1.6789554032313945, 1.6844104574696015, 0.9992287095679173, 1.287039514034365, 1.6816829303504979
7_24_Corner_1_20, 1, 0.9993491635056705, 0.9993231367320522, 1.2181765031746379, 1.1913181353163025, 1.6134887595883494, 1.5753831224420733, 0.9993361501188613, 1.2047473192454703, 1.5944359410152114
4_25_Center_3_10, 3, 0.999988869336557, 0.9999904336073713, 0.15818141561716945, 0.14706917381813592, 0.20202087175474354, 0.18728794134183357, 0.9999896514719642, 0.15262529471765268, 0.19465440654828856
28_26_Center_3_10, 3, 0.9999896648841651, 0.9999910322064801, 0.15271608328202693, 0.1419584953015528, 0.19466747218813174, 0.18133369673889127, 0.9999903485453225, 0.14733728929178985, 0.1880005844635115
